s,x,y,curvature
13.900000,-11.898794,-5.242605,0.07297916
14.000000,-11.964517,-5.317976,0.07231614
14.100000,-12.029693,-5.393821,0.07164930
14.200000,-12.094325,-5.470131,0.07097913
14.300000,-12.158413,-5.546898,0.07030613
14.400000,-12.221960,-5.624113,0.06963077
14.500000,-12.284968,-5.701769,0.06895350
14.600000,-12.347439,-5.779858,0.06827476
14.700000,-12.409375,-5.858372,0.06759499
14.800000,-12.470779,-5.937303,0.06691459
14.900000,-12.531654,-6.016643,0.06623396
15.000000,-12.592002,-6.096384,0.06555348
15.100000,-12.651826,-6.176520,0.06487351
15.200000,-12.711129,-6.257042,0.06419440
15.300000,-12.769914,-6.337942,0.06351648
15.400000,-12.828184,-6.419215,0.06284007
15.500000,-12.885942,-6.500853,0.06216547
15.600000,-12.943191,-6.582848,0.06149296
15.700000,-12.999935,-6.665193,0.06082283
15.800000,-13.056177,-6.747882,0.06015531
15.900000,-13.111921,-6.830908,0.05949066
16.000000,-13.167170,-6.914264,0.05882911
16.100000,-13.221927,-6.997944,0.05817088
16.200000,-13.276197,-7.081941,0.05751615
16.300000,-13.329983,-7.166249,0.05686514
16.400000,-13.383288,-7.250861,0.05621800
16.500000,-13.436117,-7.335772,0.05557491
16.600000,-13.488474,-7.420975,0.05493602
16.700000,-13.540361,-7.506464,0.05430147
16.800000,-13.591784,-7.592234,0.05367139
16.900000,-13.642745,-7.678279,0.05304590
17.000000,-13.693249,-7.764593,0.05242512
17.100000,-13.743300,-7.851170,0.05180915
17.200000,-13.792902,-7.938006,0.05119806
17.300000,-13.842058,-8.025094,0.05059195
17.400000,-13.890773,-8.112430,0.04999089
17.500000,-13.939051,-8.200009,0.04939495
17.600000,-13.986896,-8.287825,0.04880418
17.700000,-14.034312,-8.375873,0.04821862
17.800000,-14.081302,-8.464149,0.04763833
17.900000,-14.127872,-8.552648,0.04706334
18.000000,-14.174024,-8.641365,0.04649367
18.100000,-14.219763,-8.730295,0.04592935
18.200000,-14.265094,-8.819435,0.04537040
18.300000,-14.310019,-8.908779,0.04481682
18.400000,-14.354544,-8.998324,0.04426862
18.500000,-14.398672,-9.088065,0.04372580
18.600000,-14.442406,-9.177999,0.04318836
18.700000,-14.485752,-9.268120,0.04265628
18.800000,-14.528714,-9.358425,0.04212956
18.900000,-14.571294,-9.448911,0.04160817
19.000000,-14.613497,-9.539572,0.04109209
19.100000,-14.655328,-9.630407,0.04058130
19.200000,-14.696789,-9.721410,0.04007578
19.300000,-14.737886,-9.812579,0.03957548
19.400000,-14.778621,-9.903910,0.03908037
19.500000,-14.818999,-9.995399,0.03859042
19.600000,-14.859024,-10.087043,0.03810559
19.700000,-14.898699,-10.178840,0.03762583
19.800000,-14.938028,-10.270784,0.03715110
19.900000,-14.977016,-10.362874,0.03668135
20.000000,-15.015665,-10.455107,0.03621653
20.100000,-15.053980,-10.547479,0.03575659
20.200000,-15.091965,-10.639987,0.03530149
20.300000,-15.129622,-10.732629,0.03485116
20.400000,-15.166957,-10.825401,0.03440555
20.500000,-15.203972,-10.918301,0.03396461
20.600000,-15.240671,-11.011327,0.03352827
20.700000,-15.277058,-11.104474,0.03309648
20.800000,-15.313137,-11.197742,0.03266917
20.900000,-15.348911,-11.291127,0.03224629
21.000000,-15.384383,-11.384627,0.03182778
21.100000,-15.419558,-11.478239,0.03141357
21.200000,-15.454438,-11.571961,0.03100359
21.300000,-15.489028,-11.665791,0.03059779
21.400000,-15.523330,-11.759726,0.03019610
21.500000,-15.557348,-11.853764,0.02979846
21.600000,-15.591086,-11.947904,0.02940479
21.700000,-15.624547,-12.042141,0.02901504
21.800000,-15.657735,-12.136476,0.02862914
21.900000,-15.690652,-12.230905,0.02824702
22.000000,-15.723302,-12.325427,0.02786862
22.100000,-15.755689,-12.420039,0.02749386
22.200000,-15.787815,-12.514739,0.02712269
22.300000,-15.819685,-12.609527,0.02675503
22.400000,-15.851300,-12.704399,0.02639081
22.500000,-15.882666,-12.799355,0.02602998
22.600000,-15.913783,-12.894391,0.02567246
22.700000,-15.944657,-12.989508,0.02531819
22.800000,-15.975290,-13.084701,0.02496710
22.900000,-16.005685,-13.179972,0.02461911
23.000000,-16.035845,-13.275316,0.02427418
23.100000,-16.065774,-13.370733,0.02393221
23.200000,-16.095474,-13.466222,0.02359316
23.300000,-16.124949,-13.561781,0.02325695
23.400000,-16.154202,-13.657407,0.02292352
23.500000,-16.183235,-13.753100,0.02259279
23.600000,-16.212052,-13.848859,0.02226470
23.700000,-16.240656,-13.944682,0.02193919
23.800000,-16.269049,-14.040566,0.02161619
23.900000,-16.297235,-14.136512,0.02129562
24.000000,-16.325217,-14.232518,0.02097743
24.100000,-16.352997,-14.328582,0.02066154
24.200000,-16.380578,-14.424703,0.02034790
24.300000,-16.407964,-14.520881,0.02003643
24.400000,-16.435157,-14.617112,0.01972706
24.500000,-16.462160,-14.713397,0.01941973
24.600000,-16.488976,-14.809734,0.01911437
24.700000,-16.515608,-14.906123,0.01881092
24.800000,-16.542059,-15.002561,0.01850931
24.900000,-16.568331,-15.099047,0.01820946
25.000000,-16.594427,-15.195582,0.01791132
25.100000,-16.620350,-15.292162,0.01774752
25.200000,-16.646100,-15.388789,0.01859380
25.300000,-16.671671,-15.485464,0.01944550
25.400000,-16.697053,-15.582188,0.02030309
25.500000,-16.722240,-15.678962,0.02116701
25.600000,-16.747221,-15.775790,0.02203772
25.700000,-16.771988,-15.872673,0.02291565
25.800000,-16.796534,-15.969611,0.02380125
25.900000,-16.820848,-16.066608,0.02469499
26.000000,-16.844923,-16.163665,0.02559731
26.100000,-16.868750,-16.260782,0.02650867
26.200000,-16.892319,-16.357962,0.02742951
26.300000,-16.915621,-16.455206,0.02836031
26.400000,-16.938647,-16.552516,0.02930151
26.500000,-16.961388,-16.649893,0.03025357
26.600000,-16.983835,-16.747337,0.03121696
26.700000,-17.005976,-16.844852,0.03219214
26.800000,-17.027804,-16.942437,0.03317956
26.900000,-17.049308,-17.040093,0.03417970
27.000000,-17.070478,-17.137822,0.03519302
27.100000,-17.091304,-17.235625,0.03621997
27.200000,-17.111776,-17.333503,0.03726103
27.300000,-17.131882,-17.431456,0.03831666
27.400000,-17.151613,-17.529486,0.03938731
27.500000,-17.170958,-17.627592,0.04047345
27.600000,-17.189906,-17.725775,0.04157553
27.700000,-17.208445,-17.824037,0.04269400
27.800000,-17.226564,-17.922376,0.04382931
27.900000,-17.244253,-18.020794,0.04498190
28.000000,-17.261498,-18.119290,0.04615220
28.100000,-17.278289,-18.217865,0.04734064
28.200000,-17.294612,-18.316517,0.04854764
28.300000,-17.310457,-18.415248,0.04977358
28.400000,-17.325810,-18.514057,0.05101887
28.500000,-17.340659,-18.612942,0.05228387
28.600000,-17.354990,-18.711903,0.05356894
28.700000,-17.368791,-18.810940,0.05487442
28.800000,-17.382049,-18.910051,0.05620062
28.900000,-17.394749,-19.009235,0.05754781
29.000000,-17.406878,-19.108490,0.05891627
29.100000,-17.418423,-19.207814,0.06030621
29.200000,-17.429368,-19.307207,0.06171783
29.300000,-17.439699,-19.406665,0.06315127
29.400000,-17.449403,-19.506186,0.06460664
29.500000,-17.458463,-19.605768,0.06608400
29.600000,-17.466865,-19.705407,0.06758335
29.700000,-17.474593,-19.805101,0.06910466
29.800000,-17.481632,-19.904846,0.07064779
29.900000,-17.487966,-20.004638,0.07221258
30.000000,-17.493580,-20.104473,0.07379878
30.100000,-17.498457,-20.204347,0.07540604
30.200000,-17.502580,-20.304255,0.07703396
30.300000,-17.505934,-20.404192,0.07868202
30.400000,-17.508502,-20.504152,0.08034963
30.500000,-17.510266,-20.604130,0.08203606
30.600000,-17.511210,-20.704118,0.08374050
30.700000,-17.511317,-20.804111,0.08546202
30.800000,-17.510569,-20.904102,0.08719954
30.900000,-17.508950,-21.004082,0.08895187
31.000000,-17.506441,-21.104044,0.09071769
31.100000,-17.503025,-21.203979,0.09249551
31.200000,-17.498686,-21.303878,0.09428372
31.300000,-17.493404,-21.403733,0.09608052
31.400000,-17.487164,-21.503531,0.09788398
31.500000,-17.479947,-21.603265,0.09969200
31.600000,-17.471737,-21.702921,0.10150230
31.700000,-17.462515,-21.802490,0.10331243
31.800000,-17.452265,-21.901958,0.10511978
31.900000,-17.440970,-22.001312,0.10692157
32.000000,-17.428613,-22.100541,0.10871483
32.100000,-17.415179,-22.199630,0.11049644
32.200000,-17.400650,-22.298565,0.11226311
32.300000,-17.385012,-22.397330,0.11401139
32.400000,-17.368249,-22.495911,0.11573770
32.500000,-17.350346,-22.594292,0.11743829
32.600000,-17.331289,-22.692456,0.11910931
32.700000,-17.311063,-22.790387,0.12074680
32.800000,-17.289657,-22.888066,0.12234669
32.900000,-17.267058,-22.985477,0.12390486
33.000000,-17.243253,-23.082601,0.12541711
33.100000,-17.218232,-23.179419,0.12687924
33.200000,-17.191984,-23.275912,0.12828703
33.300000,-17.164501,-23.372061,0.12963630
33.400000,-17.135774,-23.467846,0.13092290
33.500000,-17.105795,-23.563248,0.13214280
33.600000,-17.074557,-23.658245,0.13329206
33.700000,-17.042057,-23.752818,0.13436690
33.800000,-17.008288,-23.846946,0.13536371
33.900000,-16.973248,-23.940610,0.13627910
34.000000,-16.936934,-24.033787,0.13710993
34.100000,-16.899347,-24.126459,0.13785332
34.200000,-16.860485,-24.218604,0.13850669
34.300000,-16.820351,-24.310202,0.13906779
34.400000,-16.778946,-24.401234,0.13919137
34.500000,-16.736279,-24.491682,0.13810266
34.600000,-16.692368,-24.581531,0.13709137
34.700000,-16.647228,-24.670770,0.13615611
34.800000,-16.600878,-24.759386,0.13529553
34.900000,-16.553333,-24.847366,0.13450830
35.000000,-16.504609,-24.934698,0.13379313
35.100000,-16.454721,-25.021370,0.13314877
35.200000,-16.403684,-25.107371,0.13257402
35.300000,-16.351511,-25.192686,0.13206771
35.400000,-16.298215,-25.277305,0.13162874
35.500000,-16.243811,-25.361215,0.13125601
35.600000,-16.188310,-25.444404,0.13094852
35.700000,-16.131725,-25.526858,0.13070525
35.800000,-16.074066,-25.608565,0.13052528
35.900000,-16.015346,-25.689513,0.13040769
36.000000,-15.955576,-25.769687,0.13035161
36.100000,-15.894766,-25.849076,0.13035620
36.200000,-15.832926,-25.927665,0.13042064
36.300000,-15.770067,-26.005440,0.13054417
36.400000,-15.706198,-26.082388,0.13072602
36.500000,-15.641328,-26.158494,0.13096545
36.600000,-15.575468,-26.233744,0.13126173
36.700000,-15.508625,-26.308123,0.13161415
36.800000,-15.440810,-26.381616,0.13202199
36.900000,-15.372030,-26.454206,0.13248453
37.000000,-15.302295,-26.525879,0.13300105
37.100000,-15.231612,-26.596618,0.13357080
37.200000,-15.159992,-26.666406,0.13419304
37.300000,-15.087441,-26.735227,0.13486696
37.400000,-15.013969,-26.803063,0.13559174
37.500000,-14.939584,-26.869897,0.13636650
37.600000,-14.864295,-26.935709,0.13719034
37.700000,-14.788109,-27.000483,0.13806224
37.800000,-14.711038,-27.064198,0.13898117
37.900000,-14.633088,-27.126837,0.13994598
38.000000,-14.554269,-27.188378,0.14095544
38.100000,-14.474590,-27.248801,0.14200823
38.200000,-14.394062,-27.308088,0.14310290
38.300000,-14.312694,-27.366216,0.14423789
38.400000,-14.230495,-27.423164,0.14541150
38.500000,-14.147478,-27.478910,0.14662190
38.600000,-14.063652,-27.533434,0.14786709
38.700000,-13.979029,-27.586712,0.14914491
38.800000,-13.893620,-27.638723,0.15045303
38.900000,-13.807439,-27.689442,0.15178893
39.000000,-13.720498,-27.738847,0.15314988
39.100000,-13.632811,-27.786916,0.15453298
39.200000,-13.544391,-27.833623,0.15593509
39.300000,-13.455253,-27.878946,0.15735285
39.400000,-13.365413,-27.922861,0.15878271
39.500000,-13.274888,-27.965345,0.16022085
39.600000,-13.183693,-28.006372,0.16166326
39.700000,-13.091846,-28.045920,0.16310568
39.800000,-12.999366,-28.083965,0.16454364
39.900000,-12.906273,-28.120483,0.16597243
40.000000,-12.812586,-28.155451,0.16738717
40.100000,-12.718327,-28.188846,0.16878275
40.200000,-12.623518,-28.220646,0.17015389
40.300000,-12.528180,-28.250828,0.17149517
40.400000,-12.432339,-28.279370,0.17280099
40.500000,-12.336019,-28.306253,0.17406568
40.600000,-12.239244,-28.331455,0.17528346
40.700000,-12.142043,-28.354957,0.17644853
40.800000,-12.044441,-28.376741,0.17562621
40.900000,-11.946472,-28.396809,0.17144756
41.000000,-11.848173,-28.415196,0.16722768
41.100000,-11.749579,-28.431936,0.16298363
41.200000,-11.650725,-28.447066,0.15873098
41.300000,-11.551643,-28.460626,0.15448387
41.400000,-11.452362,-28.472654,0.15025492
41.500000,-11.352912,-28.483188,0.14605534
41.600000,-11.253318,-28.492269,0.14189496
41.700000,-11.153605,-28.499935,0.13778227
41.800000,-11.053796,-28.506227,0.13372452
41.900000,-10.953911,-28.511184,0.12972782
42.000000,-10.853971,-28.514844,0.12579718
42.100000,-10.753992,-28.517246,0.12193663
42.200000,-10.653991,-28.518429,0.11814931
42.300000,-10.553983,-28.518431,0.11443753
42.400000,-10.453982,-28.517287,0.11080291
42.500000,-10.354000,-28.515036,0.10724637
42.600000,-10.254048,-28.511712,0.10376827
42.700000,-10.154136,-28.507352,0.10036850
42.800000,-10.054273,-28.501988,0.09704643
42.900000,-9.954467,-28.495656,0.09380110
43.000000,-9.854724,-28.488387,0.09063119
43.100000,-9.755053,-28.480215,0.08753509
43.200000,-9.655457,-28.471171,0.08451094
43.300000,-9.555941,-28.461285,0.08155668
43.400000,-9.456509,-28.450588,0.07867005
43.500000,-9.357165,-28.439108,0.07584866
43.600000,-9.257912,-28.426876,0.07308997
43.700000,-9.158751,-28.413919,0.07039135
43.800000,-9.059684,-28.400263,0.06775008
43.900000,-8.960712,-28.385937,0.06516336
44.000000,-8.861836,-28.370967,0.06262834
44.100000,-8.763056,-28.355377,0.06014210
44.200000,-8.664373,-28.339194,0.05770170
44.300000,-8.565785,-28.322441,0.05530412
44.400000,-8.467291,-28.305144,0.05294634
44.500000,-8.368891,-28.287325,0.05062529
44.600000,-8.270584,-28.269008,0.04833786
44.700000,-8.172366,-28.250217,0.04608091
44.800000,-8.074236,-28.230973,0.04385124
44.900000,-7.976193,-28.211300,0.04164563
45.000000,-7.878233,-28.191218,0.03946079
45.100000,-7.780353,-28.170750,0.03729338
45.200000,-7.682551,-28.149917,0.03513997
45.300000,-7.584824,-28.128741,0.03299706
45.400000,-7.487167,-28.107243,0.03086107
45.500000,-7.389578,-28.085443,0.02872829
45.600000,-7.292053,-28.063363,0.02749632
45.700000,-7.194588,-28.041015,0.02746315
45.800000,-7.097186,-28.018399,0.02742570
45.900000,-6.999846,-27.995516,0.02738393
46.000000,-6.902568,-27.972366,0.02733780
46.100000,-6.805355,-27.948950,0.02728728
46.200000,-6.708205,-27.925270,0.02723234
46.300000,-6.611120,-27.901324,0.02717297
46.400000,-6.514100,-27.877116,0.02710912
46.500000,-6.417147,-27.852644,0.02704079
46.600000,-6.320259,-27.827910,0.02696795
46.700000,-6.223439,-27.802915,0.02689059
46.800000,-6.126686,-27.777659,0.02680869
46.900000,-6.030001,-27.752144,0.02672224
47.000000,-5.933385,-27.726371,0.02663123
47.100000,-5.836837,-27.700341,0.02653566
47.200000,-5.740358,-27.674055,0.02643552
47.300000,-5.643950,-27.647514,0.02633082
47.400000,-5.547611,-27.620718,0.02622155
47.500000,-5.451343,-27.593671,0.02610772
47.600000,-5.355146,-27.566372,0.02598934
47.700000,-5.259020,-27.538823,0.02586643
47.800000,-5.162965,-27.511026,0.02573898
47.900000,-5.066982,-27.482981,0.02560703
48.000000,-4.971071,-27.454691,0.02547059
48.100000,-4.875233,-27.426156,0.02532969
48.200000,-4.779466,-27.397379,0.02518434
48.300000,-4.683773,-27.368361,0.02503458
48.400000,-4.588152,-27.339103,0.02488044
48.500000,-4.492605,-27.309607,0.02472195
48.600000,-4.397130,-27.279876,0.02455914
48.700000,-4.301729,-27.249909,0.02439207
48.800000,-4.206400,-27.219711,0.02422077
48.900000,-4.111146,-27.189281,0.02404528
49.000000,-4.015964,-27.158622,0.02386566
49.100000,-3.920856,-27.127737,0.02368194
49.200000,-3.825821,-27.096626,0.02349420
49.300000,-3.730859,-27.065292,0.02330247
49.400000,-3.635971,-27.033736,0.02310682
49.500000,-3.541156,-27.001962,0.02290730
49.600000,-3.446413,-26.969970,0.02270399
49.700000,-3.351743,-26.937763,0.02249694
49.800000,-3.257146,-26.905344,0.02228622
49.900000,-3.162622,-26.872713,0.02207191
50.000000,-3.068169,-26.839874,0.02185406
50.100000,-2.973788,-26.806829,0.02163275
50.200000,-2.879479,-26.773579,0.02140806
50.300000,-2.785241,-26.740128,0.02118007
50.400000,-2.691074,-26.706477,0.02094885
50.500000,-2.596978,-26.672629,0.02071448
50.600000,-2.502952,-26.638586,0.02047705
50.700000,-2.408996,-26.604350,0.02023663
50.800000,-2.315109,-26.569925,0.01999331
50.900000,-2.221291,-26.535311,0.01974718
51.000000,-2.127541,-26.500513,0.01949833
51.100000,-2.033860,-26.465532,0.01924683
51.200000,-1.940245,-26.430370,0.01899279
51.300000,-1.846698,-26.395031,0.01873629
51.400000,-1.753217,-26.359516,0.01847741
51.500000,-1.659802,-26.323829,0.01821627
51.600000,-1.566451,-26.287971,0.01795293
51.700000,-1.473165,-26.251946,0.01768751
